NAMEUNIT	OBJECTID	INSPIREID	NATCODE	CODNUT1	CODNUT2	CODNUT3	CODIGOINE	Shape__Are	Shape__Len	Tavg	mosquito.abundance	GDP.test	eip	rnott.expected	RBM	CODIMUNI	AREAOFI	AREAPOL	CODICOMAR	CODIPROV	VALIDDE	DATAALTA	CODIMUNI.1	AREAOFI.1	AREAPOL.1	CODICOMAR.1	CODIPROV.1	VALIDDE.1	DATAALTA.1	Casos2014	Casos2015	Casos2016	Casos2017	Promedio	CasosPromedio	id	ImportationRisk
Aspa	2345	ES.IGN.SIGLIM34092525036	34092525036	ES5	ES51	ES513	25036	0.001084504958171	0.142717694884119	24.431999206543	0.0162507720280871	30611.57240126	2.573945828945	0.442576989860054	22868.4118508271	250365	NA	10.0507	33	25	NA	201707262100	250365	NA	10.0507	33	25	NA	201707262100	0	0	0	0	0	0	61	0
Avià	1778	ES.IGN.SIGLIM34090808011	34090808011	ES5	ES51	ES511	8011	0.002953850117291	0.272984831542489	21.5620002746582	0.0104977028929413	22926.3425827143	3.23827240099282	0.272647181463337	22538	80116	27.1686	27.1686	14	8	20170426	201707262100	80116	27.1686	27.1686	14	8	20170426	201707262100	0	0	0	0	0	0	62	0.000165513303835836
Avinyó	1779	ES.IGN.SIGLIM34090808012	34090808012	ES5	ES51	ES511	8012	0.006810398546331	0.558017825542193	22.6127998352051	0.0125634216944492	28638.0851851083	2.97717842037983	0.332440615621593	23316	80121	63.5617	63.5617	7	8	20170726	201707262100	80121	63.5617	63.5617	7	8	20170726	201707262100	0	0	0	0	0	0	63	7.59786796984818e-05
Avinyonet de Puigventós	2103	ES.IGN.SIGLIM34091717012	34091717012	ES5	ES51	ES512	17012	0.001358395019786	0.182828737832592	23.0969996452332	0.146663015625456	25185.9051434698	2.86405951248468	3.91233303483219	25196	170123	NA	12.3152	2	17	NA	201707262100	170123	NA	12.3152	2	17	NA	201707262100	0	0	0	0	0	0	64	7.78813722011783e-05
Avinyonet del Penedès	1780	ES.IGN.SIGLIM34090808013	34090808013	ES5	ES51	ES511	8013	0.003157772986714	0.453079158398883	23.3759994506836	0.104597103606149	26888.3942925299	2.80084188147934	2.80282473284617	43031	80137	NA	29.1471	3	8	NA	201707262100	80137	NA	29.1471	3	8	NA	201707262100	0	0	0	0	0	0	65	0.000137474574167933
Badalona	1782	ES.IGN.SIGLIM34090808015	34090808015	ES5	ES51	ES511	8015	0.002256856299819	0.23552368758557	23.5319995880127	0.251495856167536	23170.3192891159	2.76610455599169	6.75592320008617	23860	80155	NA	21.0989	13	8	NA	201707262100	80155	NA	21.0989	13	8	NA	201707262100	0	3	1	3	1,75	2	66	0.000179422715017948
Badia del Vallès	2090	ES.IGN.SIGLIM34090808904	34090808904	ES5	ES51	ES511	8904	0.000100528262183	0.062980272497918	23.6840000152588	0.0996431626049619	18744.558572266	2.7326723106273	2.68310999069936	20340	89045	0.93	0.93	40	8	20040325	201707262100	89045	0.93	0.93	40	8	20040325	201707262100	0	0	0	0	0	0	67	4.09692306387971e-05
Bagà	1783	ES.IGN.SIGLIM34090808016	34090808016	ES5	ES51	ES511	8016	0.004704787890534	0.650316715151648	14.3626667658488	0.0157034324668313	20636.6399942432	5.76028330694698	0.340616701790993	22959	80168	NA	43.0291	14	8	NA	201707262100	80168	NA	43.0291	14	8	NA	201707262100	0	0	0	0	0	0	68	2.70535642688605e-05
Baix Pallars	2348	ES.IGN.SIGLIM34092525039	34092525039	ES5	ES51	ES513	25039	0.014066806987617	0.790010043254991	17.6919997930527	0.0146125952278384	23748.481928035	4.41337638435232	0.348964419611307	26148.6478699281	250390	NA	129.3642	26	25	NA	201707262100	250390	NA	129.3642	26	25	NA	201707262100	0	0	0	0	0	0	69	2.53952390746419e-05
Balaguer	2349	ES.IGN.SIGLIM34092525040	34092525040	ES5	ES51	ES513	25040	0.006183248903018	0.578035337148984	24.0190005302429	0.105527950063096	28554.5836961629	2.66040923200956	2.8562758662096	21791	250404	57.0716	57.0716	23	25	20170726	201707262100	250404	57.0716	57.0716	23	25	20170726	201707262100	0	0	0	0	0	0	70	6.12879240471554e-05
